
. Module name, SLE, CFG, ARI1, BUFFER, MACC, RAM1K18, RAM64X18, GLOBAL, IO
. CertificationSystem, 2099, 2527, 677, 0, 0, 32, 0, 4, 7
.	. AHB_slave_dummy, 15, 11, 0, 0, 0, 0, 0, 0, 0
.	. CertificationSystem_sb, 125, 1230, 0, 0, 0, 32, 0, 3, 6
.	.	. CertificationSystem_sb_CCC_0_FCCC, 0, 0, 0, 0, 0, 0, 0, 1, 0
.	.	. CertificationSystem_sb_COREAHBLSRAM_0_0_COREAHBLSRAM, 64, 853, 0, 0, 0, 32, 0, 0, 0
.	.	.	. CertificationSystem_sb_COREAHBLSRAM_0_0_AHBLSramIf, 28, 28, 0, 0, 0, 0, 0, 0, 0
.	.	.	. CertificationSystem_sb_COREAHBLSRAM_0_0_SramCtrlIf, 36, 825, 0, 0, 0, 32, 0, 0, 0
.	.	.	.	. CertificationSystem_sb_COREAHBLSRAM_0_0_lsram_2048to139264x8, 0, 811, 0, 0, 0, 32, 0, 0, 0
.	.	. CertificationSystem_sb_FABOSC_0_OSC, 0, 0, 0, 0, 0, 0, 0, 0, 0
.	.	. CertificationSystem_sb_MSS, 0, 0, 0, 0, 0, 0, 0, 0, 6
.	.	. CoreAHBLite, 52, 375, 0, 0, 0, 0, 0, 0, 0
.	.	.	. COREAHBLITE_MATRIX4X16, 52, 375, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. COREAHBLITE_MASTERSTAGE_1_1_0_40_0, 40, 282, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. COREAHBLITE_DEFAULTSLAVESM_0, 1, 2, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. COREAHBLITE_SLAVESTAGE_0, 6, 47, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. COREAHBLITE_SLAVEARBITER_1_0, 5, 15, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. COREAHBLITE_SLAVESTAGE_1, 6, 46, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. COREAHBLITE_SLAVEARBITER_1, 5, 13, 0, 0, 0, 0, 0, 0, 0
.	.	. CoreResetP, 9, 2, 0, 0, 0, 0, 0, 1, 0
.	. SHA256_Module, 1959, 1286, 677, 0, 0, 0, 0, 1, 0
.	.	. SHA256_BLOCK, 1698, 1235, 677, 0, 0, 0, 0, 1, 0
.	.	.	. gv_sha256, 1117, 830, 645, 0, 0, 0, 0, 0, 0
.	.	.	.	. sha256_control, 93, 62, 69, 0, 0, 0, 0, 0, 0
.	.	.	.	. sha256_hash_core, 256, 290, 224, 0, 0, 0, 0, 0, 0
.	.	.	.	. sha256_kt_rom, 0, 237, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. sha256_msg_sch, 512, 125, 96, 0, 0, 0, 0, 0, 0
.	.	.	.	. sha256_padding, 0, 116, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. sha256_regs, 256, 0, 256, 0, 0, 0, 0, 0, 0
.	.	.	. limiter_1cycle, 1, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	. limiter_1cycle_0, 1, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	. reg_17x32, 536, 365, 0, 0, 0, 0, 0, 0, 0
.	.	.	. sha256_controller, 43, 40, 32, 0, 0, 0, 0, 1, 0
.	.	. reg1_highonly, 1, 2, 0, 0, 0, 0, 0, 0, 0
.	.	. reg9_1x32, 260, 49, 0, 0, 0, 0, 0, 0, 0
.	.	.	. mux_9_1, 0, 47, 0, 0, 0, 0, 0, 0, 0
.	.	.	. reg_1x32, 33, 2, 0, 0, 0, 0, 0, 0, 0
.	.	.	. reg_1x32_1, 32, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	. reg_1x32_2, 32, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	. reg_1x32_3, 32, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	. reg_1x32_4, 32, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	. reg_1x32_5, 32, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	. reg_1x32_6, 32, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	. reg_1x32_7, 32, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	. reg_1x32_8, 3, 0, 0, 0, 0, 0, 0, 0, 0
