Word,Count
*,18199
,8729
the,7873
to,3518
of,2859
is,2360
a,2116
\param,1893
for,1713
and,1665
The,1534
in,1526
or,1369
-,1346
function,1345
be,1230
if,1009
data,874
This,819
\brief,818
with,793
by,743
License,720
key,717
this,671
that,663
buffer,653
0,644
on,644
an,638
use,629
used,626
context,619
not,615
parameter,595
*<,594
MSS,570
as,550
value,527
=,526
!<,508
are,483
length,477
interrupt,444
under,437
from,427
\return,423
will,410
file,406
must,381
1,374
it,366
+,353
error,350
may,349
block,347
TLS,346
can,342
mode,332
at,325
See,323
you,322
ctx,316
input,312
@param,308
SPI,308
number,302
bytes,299
{,293
distributed,289
code,282
driver,274
specific,272
},271
output,268
either,265
*************************************************************************,263
only,255
register,247
#define,244
part,244
structure,244
when,243
pointer,243
should,243
\note,240
size,240
functions,235
memory,235
one,235
we,231
set,228
following,228
Enable,226
\successful,\,224
message,224
You,221
required,215
UART,214
using,210
All,207
bit,206
transfer,205
has,204
configuration,201
point,197
::=,194
bits,193
SSL,187
Set,185
A,184
call,184
Copyright,184
handler,183
SmartFusion2,183
certificate,182
system,182
-------------------------------------------------------------------------,181
RTC,180
mbed,180
return,174
write,171
software,171
2,171
If,170
(the,169
|,167
copy,164
except,162
Check,160
OR,158
),157
OF,155
hardware,155
Version,155
Note:,154
X,152
\def,152
ANY,151
ARM,150
time,150
status,150
any,149
eNVM,148
obtain,147
applicable,146
implied,146
into,146
details,146
compliance,145
governing,144
language,144
\"\License"\);\,144
agreed,144
Apache,144
CONDITIONS,144
\IS"\\,144
permissions,144
\License,\,144
\BASIS,\,144
WARRANTIES,144
implementation,144
limitations,144
Rights,144
2.0,144
law,144
\Limited,\,144
Reserved,144
Licensed,144
http://www.apache.org/licenses/LICENSE-2.0,144
\"\AS\,144
\KIND,\,144
\writing,\,144
SPDX-License-Identifier:,144
express,144
(https://tls.mbed.org),144
WITHOUT,144
Unless,144
Apache-2.0,144
(C),144
digest,143
current,143
read,142
counter,140
cipher,140
which,140
service,139
all,137
called,136
other,135
\2006-2015,\,133
public,133
was,133
GPIO,132
@return,130
type,130
•,129
state,126
failed,126
your,126
two,124
parameters,123
==============================================================================,123
holding,123
&&,122
slave,121
does,121
first,121
same,121
after,120
support,120
returns,120
hash,120
values,119
so,119
within,119
receive,119
||,118
It,118
before,118
For,117
no,117
address,117
timer,114
out,113
result,113
received,112
written,111
RSA,111
but,111
specifies,111
handshake,111
command,110
defined,110
session,109
been,109
string,108
how,107
user,106
have,105
associated,105
MPI,105
/,105
P,105
operation,105
RFC,104
callback,104
Cortex-M3,103
private,102
version,101
name,101
interrupts,100
OBJECT,99
module,98
device,98
then,98
available,98
RNG,98
information,97
controller,97
\c,97
PDMA,96
specified,96
list,96
need,95
requested,95
configured,94
g_mss_uart0,94
signature,94
FIFO,94
keys,94
entropy,93
this_uart,93
disable,93
application,93
through,91
1.2,91
);,91
IDENTIFIER,91
back,91
transmit,91
@endcode,90
master,90
tag,90
@code,90
initialized,89
source,88
algorithm,87
Write,87
perform,87
than,86
also,85
NULL,85
check,85
start,85
System,85
DMA,84
Indicates,84
such,84
mod,84
channel,83
MBEDTLS_CIPHER_MODE_CBC,83
global,82
routine,81
Timer,81
byte,81
its,80
\file,80
(,80
default,80
identifying,79
macro,79
IV,79
verification,79
each,79
Initialize,79
generate,79
enable,78
next,78
registers,78
3,78
random,77
PEM,76
test,76
clock,76
mask,76
given,75
void,75
do,75
OID,75
new,75
record,74
peripheral,74
where,74
SVN,74
Example:,73
successful,73
secret,73
more,73
up,73
DTLS,72
Requires:,71
ASN.1,71
padding,71
curve,71
buf,71
access,71
line,70
Send,70
$,70
4,70
There,70
Key,69
These,69
AES,69
enabled,69
Get,69
Clear,68
containing,68
Read,68
based,68
R,67
while,67
X.509,67
alarm,67
------------------------------------------------------------------------------,67
N,67
case,66
client,66
codes,66
fabric,65
Module:,65
page,65
our,64
frame,64
64-bit,63
******************************************************************************,63
f_rng,63
reserved,63
destination,63
always,63
order,63
FPGA,63
field,63
rev,62
both,62
tamper,62
specify,62
32,62
Generate,62
uint8_t,61
sure,61
extension,61
them,61
Maximum,61
Length,60
enables,60
MBEDTLS_SHA1_C,60
SEQUENCE,60
these,60
baud,60
compiler,59
len,59
HPDMA,59
content,59
last,59
valid,59
end,59
\structures,\,59
SHA-256,58
We,58
chain,58
8,58
uint16_t,57
UART0,57
transfers,57
provides,57
==,57
NVIC,56
encryption/decryption,56
actual,56
format,55
get,55
UART1,55
integer,55
Tx,55
control,54
Implementation,54
reset,54
never,54
In,54
MBEDTLS_SELF_TEST,53
Disable,53
connection,53
instance,53
maximum,53
since,53
otherwise,53
least,53
Caller:,53
invalid,53
allocation,52
server,52
group,52
base,52
operating,52
initialization,52
layer,52
Checkup,51
offset,51
during,51
g_mss_uart1,51
.,51
being,51
ERROR,51
ssl,51
p_rng,51
protected,51
mss_uart_instance_t,51
Interrupt,51
single,51
Free,50
programming,50
p,50
security,50
constants,50
\success,\,50
--,50
level,50
EC,50
Respond,50
Q,50
additional,50
Group,50
clear,50
uint32_t,49
update,49
transmitter,49
encryption,49
allows,49
send,49
Parse,49
MBEDTLS_SHA256_C,49
verify,48
/**<,48
Return,48
binary,48
optimized,48
*/,48
timeout,48
certificates,48
enrolled,47
passed,47
returned,47
activation,47
count,47
large,47
store,47
generated,47
conf,47
round,47
decryption,46
usage,46
Make,46
header,46
(bit,46
HMAC,46
PKCS#1,46
On,46
Default,46
between,46
devices,45
stored,45
detected,45
CRL,45
peer,45
options,45
(for,45
Y,45
make,45
full,45
Use,45
MBEDTLS_AES_C,45
Microsemi,45
settings,45
seed,45
zero,45
curves,45
mss_uart.h,44
CMSIS,44
negative,44
wakeup,44
modes,44
ciphersuites,44
opaque,44
receiver,44
add,44
