File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
E:\LiberoProjects\HSM\HSM\Command.c,911,579,407,63,158,10,174,901,0,0
E:\LiberoProjects\HSM\HSM\common.c,431,267,176,46,68,8,96,544,6,11
E:\LiberoProjects\HSM\HSM\Logs.c,86,57,35,7,21,12,8,58,0,0
E:\LiberoProjects\HSM\HSM\main.c,236,121,78,25,43,1,72,261,0,0
E:\LiberoProjects\HSM\HSM\PKC.c,358,251,178,54,48,0,59,246,6,11
E:\LiberoProjects\HSM\HSM\SecComm.c,213,146,92,35,39,8,28,144,6,11
E:\LiberoProjects\HSM\HSM\SPIFLASH.c,123,75,53,4,27,0,21,117,0,0
E:\LiberoProjects\HSM\HSM\UART.c,690,438,294,70,131,12,121,575,0,0
E:\LiberoProjects\HSM\HSM\User.c,430,282,201,76,81,7,67,338,0,0
E:\LiberoProjects\HSM\HSM\Command.h,22,17,10,0,5,1,0,1,0,0
E:\LiberoProjects\HSM\HSM\common.h,185,85,26,0,38,5,62,274,6,11
E:\LiberoProjects\HSM\HSM\HSM_hw_platform.h,17,3,0,0,4,1,10,34,0,0
E:\LiberoProjects\HSM\HSM\Logs.h,32,8,1,0,5,1,19,79,0,0
E:\LiberoProjects\HSM\HSM\PKC.h,36,19,7,0,7,1,10,32,6,11
E:\LiberoProjects\HSM\HSM\SecComm.h,24,12,7,0,6,1,6,13,6,11
E:\LiberoProjects\HSM\HSM\SPIFLASH.h,42,14,7,0,9,1,19,51,0,0
E:\LiberoProjects\HSM\HSM\UART.h,69,51,19,0,9,2,9,13,0,0
E:\LiberoProjects\HSM\HSM\User.h,38,30,23,0,7,1,1,11,0,0
E:\LiberoProjects\HSM\HSM\CMSIS\system_m2sxxx.c,1007,661,253,28,141,104,205,1239,8,36
E:\LiberoProjects\HSM\HSM\CMSIS\hw_reg_io.h,114,74,30,6,12,5,28,156,13,70
E:\LiberoProjects\HSM\HSM\CMSIS\m2sxxx.h,2827,1614,1369,0,322,218,891,3042,12,61
E:\LiberoProjects\HSM\HSM\CMSIS\mss_assert.h,63,25,3,1,13,4,25,122,12,64
E:\LiberoProjects\HSM\HSM\CMSIS\system_m2sxxx.h,50,18,10,0,10,7,22,196,8,36
E:\LiberoProjects\HSM\HSM\CMSIS\sys_init_cfg_types.h,213,174,160,0,12,1,27,80,8,32
E:\LiberoProjects\HSM\HSM\CMSIS\startup_gcc\newlib_stubs.c,306,154,76,24,38,7,114,585,8,37
E:\LiberoProjects\HSM\HSM\drivers\mss_gpio\mss_gpio.c,299,213,76,12,33,0,53,228,8,40
E:\LiberoProjects\HSM\HSM\drivers\mss_gpio\mss_gpio.h,508,137,18,2,21,1,350,1970,76,503
E:\LiberoProjects\HSM\HSM\drivers\mss_hpdma\mss_hpdma.c,425,273,124,20,50,0,102,431,8,39
