Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,202,116241,66858,28953,8169,15139,3630,34244,182622,5120,31595
E:\LiberoProjects\HSM\HSM,202,116241,66858,28953,8169,15139,3630,34244,182622,5120,31595
E:\LiberoProjects\HSM\HSM\CMSIS,7,4580,2720,1901,59,548,346,1312,5420,69,336
E:\LiberoProjects\HSM\HSM\CMSIS\startup_gcc,1,306,154,76,24,38,7,114,585,8,37
E:\LiberoProjects\HSM\HSM\drivers,23,20324,8001,3559,487,1696,311,10627,57785,1535,11673
E:\LiberoProjects\HSM\HSM\drivers\mss_gpio,2,807,350,94,14,54,1,403,2198,84,543
E:\LiberoProjects\HSM\HSM\drivers\mss_hpdma,2,806,332,135,20,67,1,407,2023,77,518
E:\LiberoProjects\HSM\HSM\drivers\mss_nvm,2,1550,845,377,92,151,17,554,3542,60,470
E:\LiberoProjects\HSM\HSM\drivers\mss_pdma,2,1344,486,148,12,88,32,770,3757,101,753
E:\LiberoProjects\HSM\HSM\drivers\mss_rtc,2,1390,481,242,32,117,17,792,4424,141,1091
E:\LiberoProjects\HSM\HSM\drivers\mss_spi,2,2861,966,495,61,215,25,1680,9433,221,1883
E:\LiberoProjects\HSM\HSM\drivers\mss_sys_services,5,5865,2451,1180,148,523,107,2891,15315,478,3925
E:\LiberoProjects\HSM\HSM\drivers\mss_timer,1,630,171,93,2,48,34,411,2863,98,607
E:\LiberoProjects\HSM\HSM\drivers\mss_uart,3,4487,1541,588,96,323,60,2623,13872,259,1826
E:\LiberoProjects\HSM\HSM\drivers\w25q64fvssig,2,584,378,207,10,110,17,96,358,16,57
E:\LiberoProjects\HSM\HSM\drivers_config,3,490,349,14,0,40,14,101,428,24,124
E:\LiberoProjects\HSM\HSM\drivers_config\sys_config,3,490,349,14,0,40,14,101,428,24,124
E:\LiberoProjects\HSM\HSM\hal,7,865,256,38,0,81,7,528,2928,69,393
E:\LiberoProjects\HSM\HSM\hal\CortexM3,4,395,110,22,0,42,3,243,1026,44,261
E:\LiberoProjects\HSM\HSM\hal\CortexM3\GNU,2,128,53,3,0,24,2,51,227,24,141
E:\LiberoProjects\HSM\HSM\mbedtls,144,86039,53077,21827,7243,12068,2880,20894,112369,3387,19003
E:\LiberoProjects\HSM\HSM\mbedtls\include,71,24869,9639,1840,44,2285,1338,12945,72201,1609,9146
E:\LiberoProjects\HSM\HSM\mbedtls\include\mbedtls,71,24869,9639,1840,44,2285,1338,12945,72201,1609,9146
E:\LiberoProjects\HSM\HSM\mbedtls\library,73,61170,43438,19987,7199,9783,1542,7949,40168,1778,9857
