File,Function,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD
E:\LiberoProjects\HSM\HSM\Command.c,COMMAND_inited(),2,2,2,0,0,0,0,0,
E:\LiberoProjects\HSM\HSM\Command.c,COMMAND_process(uint8_t * command),102,81,49,10,9,0,12,58,
E:\LiberoProjects\HSM\HSM\Command.c,COMMAND_USER_process(uint8_t * command),190,114,87,13,36,0,40,187,
E:\LiberoProjects\HSM\HSM\Command.c,COMMAND_DATASIGN_process(uint8_t * command),108,66,51,6,19,0,23,122,
E:\LiberoProjects\HSM\HSM\Command.c,COMMAND_CERTMGT_process(uint8_t * command),138,88,63,12,23,5,27,167,
E:\LiberoProjects\HSM\HSM\Command.c,COMMAND_LOGS_process(uint8_t * command),50,26,22,3,8,1,16,78,
E:\LiberoProjects\HSM\HSM\Command.c,COMMAND_TIME_process(uint8_t * command),53,36,28,2,10,3,7,86,
E:\LiberoProjects\HSM\HSM\Command.c,COMMAND_SESSION_process(uint8_t * command),112,70,50,9,19,1,23,112,
E:\LiberoProjects\HSM\HSM\Command.c,COMMAND_DEVICE_process(uint8_t * command),113,67,50,8,21,0,25,89,
E:\LiberoProjects\HSM\HSM\Command.c,COMMAND_ERROR(char * message),4,4,4,0,0,0,0,0,
E:\LiberoProjects\HSM\HSM\common.c,__printf(char *s),5,4,2,0,0,0,1,11,
E:\LiberoProjects\HSM\HSM\common.c,"calculate_weekday(uint32_t day, uint32_t month, uint32_t year)",13,10,10,1,3,0,0,0,
E:\LiberoProjects\HSM\HSM\common.c,"calculate_totaldays(uint32_t day, uint32_t month, uint32_t year)",20,18,13,3,2,0,0,0,
E:\LiberoProjects\HSM\HSM\common.c,"calculate_week(uint32_t day, uint32_t month, uint32_t year)",28,22,18,3,6,0,0,0,
E:\LiberoProjects\HSM\HSM\common.c,"mbedtls_hardware_poll(void *data, unsigned char *output, size_t len, size_t *olen)",45,23,18,5,8,1,14,111,
E:\LiberoProjects\HSM\HSM\common.c,"add_pkcs_padding( unsigned char *output, size_t output_len, size_t data_len )",6,5,4,1,1,0,0,0,
E:\LiberoProjects\HSM\HSM\common.c,"get_pkcs_padding( unsigned char *input, size_t input_len, size_t *data_len )",21,13,11,4,5,0,3,33,
E:\LiberoProjects\HSM\HSM\common.c,"sys_services_event_handler(uint8_t opcode, uint8_t response)",42,31,16,1,5,0,6,56,
E:\LiberoProjects\HSM\HSM\common.c,sys_services_data_event_handler(uint8_t error_type),25,23,17,3,2,0,0,0,
E:\LiberoProjects\HSM\HSM\common.c,"sys_keys_to_pem(uint8_t * private_key, uint8_t * pub_dest, uint32_t pub_size, uint8_t * pri_dest, uint32_t pri_size)",96,70,50,23,15,5,11,88,
E:\LiberoProjects\HSM\HSM\common.c,convertDateToUnixTime(const mss_rtc_calendar_t *date),33,19,17,2,4,2,10,65,
E:\LiberoProjects\HSM\HSM\Logs.c,"LOGS_sign(uint8_t * message, uint32_t data_len, uint8_t UID, uint8_t * finalMessage, uint8_t * signature, size_t * signature_len, uint8_t * prev_hash, uint8_t * hash)",74,51,33,7,17,12,6,46,
E:\LiberoProjects\HSM\HSM\main.c,main(),218,110,76,25,39,1,69,231,
E:\LiberoProjects\HSM\HSM\PKC.c,"PKC_genKeyPair(uint8_t * pub, uint8_t * pri)",85,39,31,9,7,0,39,157,
E:\LiberoProjects\HSM\HSM\PKC.c,"PKC_signData(uint8_t * private, uint8_t * data, size_t data_len, uint8_t * signature, size_t * signature_len)",37,31,24,7,5,0,1,3,
E:\LiberoProjects\HSM\HSM\PKC.c,"PKC_verifySignature(uint8_t * public, uint8_t * data, size_t data_len, uint8_t * signature, size_t signature_len)",38,31,25,7,5,0,2,5,
E:\LiberoProjects\HSM\HSM\PKC.c,"PKC_createCertificate(uint8_t* public, uint8_t * subject_name, uint16_t key_usage, uint8_t* certificate, uint32_t bufsize)",131,103,81,23,17,0,11,70,
E:\LiberoProjects\HSM\HSM\PKC.c,"PKC_init(mbedtls_pk_context *ctx, mbedtls_entropy_context * entropy, mbedtls_ctr_drbg_context * ctr_drbg, const char * pers, BOOL loadGroup)",29,25,13,8,4,0,0,0,
E:\LiberoProjects\HSM\HSM\PKC.c,"PKC_free(mbedtls_pk_context *ctx, mbedtls_entropy_context * entropy, mbedtls_ctr_drbg_context * ctr_drbg)",4,4,4,0,0,0,0,0,
E:\LiberoProjects\HSM\HSM\SecComm.c,SecComm_establishSessionKey(uint8_t * sessionKey),107,69,45,21,21,0,17,104,
E:\LiberoProjects\HSM\HSM\SecComm.c,SecComm_validateSessionKey(uint8_t * key),51,40,25,9,6,8,5,29,
E:\LiberoProjects\HSM\HSM\SecComm.c,SecComm_start(uint8_t * key),32,26,22,5,6,0,0,0,
E:\LiberoProjects\HSM\HSM\SPIFLASH.c,SPIFLASH_init(),6,3,3,0,1,0,2,4,
E:\LiberoProjects\HSM\HSM\SPIFLASH.c,SPIFLASH_terminate(),1,1,1,0,0,0,0,0,
E:\LiberoProjects\HSM\HSM\SPIFLASH.c,"SPIFLASH_readBytes(uint8_t ID, uint8_t * buffer, uint32_t len, uint32_t base_addr)",7,4,4,0,2,0,1,3,
E:\LiberoProjects\HSM\HSM\SPIFLASH.c,"SPIFLASH_readBlock(uint8_t ID, uint8_t * buffer, uint32_t base_addr)",16,11,12,0,3,0,2,25,
E:\LiberoProjects\HSM\HSM\SPIFLASH.c,"SPIFLASH_writeBlock(uint8_t ID, uint8_t * buffer, uint32_t base_addr)",24,17,16,1,4,0,3,30,
E:\LiberoProjects\HSM\HSM\SPIFLASH.c,"SPIFLASH_eraseBlock(uint8_t ID, uint32_t base_addr)",37,19,15,3,8,0,10,34,
E:\LiberoProjects\HSM\HSM\SPIFLASH.c,SPIFLASH_eraseAll(),2,2,2,0,0,0,0,0,
E:\LiberoProjects\HSM\HSM\UART.c,UART_init(),3,2,2,0,0,0,1,7,
E:\LiberoProjects\HSM\HSM\UART.c,UART_connect(),3,2,2,0,0,0,1,6,
E:\LiberoProjects\HSM\HSM\UART.c,UART_recTime(),22,16,12,5,5,1,1,6,
E:\LiberoProjects\HSM\HSM\UART.c,UART_disconnect(),3,3,3,0,0,0,0,0,
E:\LiberoProjects\HSM\HSM\UART.c,UART_setKey(uint8_t * key),3,3,3,0,0,0,0,0,
E:\LiberoProjects\HSM\HSM\UART.c,"UART_get( uint8_t* location, uint8_t size )",9,5,5,1,3,0,1,5,
E:\LiberoProjects\HSM\HSM\UART.c,"UART_send(uint8_t *buffer, uint32_t len)",27,17,15,4,7,1,3,16,
E:\LiberoProjects\HSM\HSM\UART.c,"UART_send_e(uint8_t *buffer, uint32_t len)",198,129,97,19,35,7,34,157,
E:\LiberoProjects\HSM\HSM\UART.c,"UART_receive(char *location, uint32_t locsize)",45,31,21,8,9,2,5,38,
E:\LiberoProjects\HSM\HSM\UART.c,"UART_receive_e(char *location, uint32_t locsize)",204,124,91,20,37,1,43,259,
E:\LiberoProjects\HSM\HSM\UART.c,UART_waitOK(),20,16,11,5,3,0,1,2,
E:\LiberoProjects\HSM\HSM\UART.c,UART_sendOK(),9,3,3,1,1,0,5,12,
E:\LiberoProjects\HSM\HSM\UART.c,UART_waitCOMMAND(),21,15,10,3,4,0,2,11,
E:\LiberoProjects\HSM\HSM\UART.c,"UART_Polled_Rx( mss_uart_instance_t * this_uart, uint8_t * rx_buff, size_t buff_size )",42,16,12,3,5,0,21,52,
