Detailed Resource Usage
Module Name,Fabric 4LUT,Fabric DFF,Single-Ended I/O,PLLs and CCCs,Chip Globals,MSS,RCOSC_50MHZ
AHB_slave_dummy_0/Primitives,8,15,0,0,0,0,0
Primitives/Primitives,1,0,1,0,0,0,0
SHA256_Module_0/Primitives,1,0,0,0,0,0,0
SHA256_Module_0/SHA256_BLOCK_0/gv_sha256_0/Inst_sha256_control/Primitives,135,93,0,0,0,0,0
SHA256_Module_0/SHA256_BLOCK_0/gv_sha256_0/Inst_sha256_hash_core/Primitives,514,256,0,0,0,0,0
SHA256_Module_0/SHA256_BLOCK_0/gv_sha256_0/Inst_sha256_kt_rom/Primitives,234,0,0,0,0,0,0
SHA256_Module_0/SHA256_BLOCK_0/gv_sha256_0/Inst_sha256_msg_sch/Primitives,221,512,0,0,0,0,0
SHA256_Module_0/SHA256_BLOCK_0/gv_sha256_0/Inst_sha256_padding/Primitives,113,0,0,0,0,0,0
SHA256_Module_0/SHA256_BLOCK_0/gv_sha256_0/Inst_sha256_regs/Primitives,256,256,0,0,0,0,0
SHA256_Module_0/SHA256_BLOCK_0/limiter_1cycle_first/Primitives,0,1,0,0,0,0,0
SHA256_Module_0/SHA256_BLOCK_0/limiter_1cycle_ready/Primitives,0,1,0,0,0,0,0
SHA256_Module_0/SHA256_BLOCK_0/reg_17x32_0/Primitives,363,533,0,0,0,0,0
SHA256_Module_0/SHA256_BLOCK_0/sha256_controller_0/Primitives,73,43,0,0,1,0,0
SHA256_Module_0/reg1_highonly_0/Primitives,1,1,0,0,0,0,0
SHA256_Module_0/reg9_1x32_0/mux_9_1_0/Primitives,185,0,0,0,0,0,0
SHA256_Module_0/reg9_1x32_0/reg_1x32_0/Primitives,2,33,0,0,0,0,0
SHA256_Module_0/reg9_1x32_0/reg_1x32_1/Primitives,0,32,0,0,0,0,0
SHA256_Module_0/reg9_1x32_0/reg_1x32_2/Primitives,0,32,0,0,0,0,0
SHA256_Module_0/reg9_1x32_0/reg_1x32_3/Primitives,0,32,0,0,0,0,0
SHA256_Module_0/reg9_1x32_0/reg_1x32_4/Primitives,0,32,0,0,0,0,0
SHA256_Module_0/reg9_1x32_0/reg_1x32_5/Primitives,0,32,0,0,0,0,0
SHA256_Module_0/reg9_1x32_0/reg_1x32_6/Primitives,0,32,0,0,0,0,0
SHA256_Module_0/reg9_1x32_0/reg_1x32_7/Primitives,0,32,0,0,0,0,0
SHA256_Module_0/reg9_1x32_0/reg_1x32_8/Primitives,0,3,0,0,0,0,0
sha256_system_sb_0/CCC_0/Primitives,0,0,0,1,1,0,0
sha256_system_sb_0/COREAHBLSRAM_0_0/U_AHBLSramIf/Primitives,10,4,0,0,0,0,0
sha256_system_sb_0/COREAHBLSRAM_0_0/U_SramCtrlIf/Primitives,7,4,0,0,0,0,0
sha256_system_sb_0/CORERESETP_0/Primitives,2,9,0,0,1,0,0
sha256_system_sb_0/CoreAHBLite_0/matrix4x16/masterstage_0/Primitives,113,25,0,0,0,0,0
sha256_system_sb_0/CoreAHBLite_0/matrix4x16/masterstage_0/address_decode/Primitives,1,0,0,0,0,0,0
sha256_system_sb_0/CoreAHBLite_0/matrix4x16/masterstage_0/default_slave_sm/Primitives,5,1,0,0,0,0,0
sha256_system_sb_0/CoreAHBLite_0/matrix4x16/slavestage_0/Primitives,6,1,0,0,0,0,0
sha256_system_sb_0/CoreAHBLite_0/matrix4x16/slavestage_0/slave_arbiter/Primitives,19,13,0,0,0,0,0
sha256_system_sb_0/CoreAHBLite_0/matrix4x16/slavestage_1/Primitives,32,1,0,0,0,0,0
sha256_system_sb_0/CoreAHBLite_0/matrix4x16/slavestage_1/slave_arbiter/Primitives,14,5,0,0,0,0,0
sha256_system_sb_0/FABOSC_0/Primitives,0,0,0,0,0,0,1
sha256_system_sb_0/Primitives,0,0,0,0,1,0,0
sha256_system_sb_0/sha256_system_sb_MSS_0/Primitives,0,0,0,0,0,1,0
